scientific_name,grupo
Dendropsophus molitor,Amphibia
Alpaida variabilis,Arachnida
Araneus granadensis,Arachnida
Steatoda grossa,Arachnida
Steatoda nobilis,Arachnida
Tegenaria domestica,Arachnida
Tityus columbianus,Arachnida
Tropicosa thorelli,Arachnida
Anas bahamensis,Aves
Antrostomus carolinensis,Aves
Ardea alba,Aves
Asio clamator,Aves
Asio stygius,Aves
Atlapetes pallidinucha,Aves
Buteo platypterus,Aves
Butorides striata,Aves
Butorides virescens,Aves
Cardellina canadensis,Aves
Catamenia analis,Aves
Catharus fuscescens,Aves
Catharus ustulatus,Aves
Chrysomus icterocephalus,Aves
Chrysomus icterocephalus bogotensis,Aves
Coccyzus americanus,Aves
Coccyzus erythropthalmus,Aves
Colibri coruscans,Aves
Columba livia domestica,Aves
Conirostrum rufum,Aves
Contopus cooperi,Aves
Contopus sordidulus,Aves
Contopus virens,Aves
Coragyps atratus,Aves
Crotophaga major,Aves
Dendrocygna autumnalis,Aves
Dendrocygna viduata,Aves
Diglossa albilatera,Aves
Diglossa sittoides,Aves
Egretta caerulea,Aves
Egretta thula,Aves
Elanus leucurus,Aves
Empidonomus aurantioatrocristatus,Aves
Empidonomus varius,Aves
Fulica americana,Aves
Fulica americana columbiana,Aves
Gallinula galeata,Aves
Geothlypis philadelphia,Aves
Icterus chrysater,Aves
Lonchura malacca,Aves
Machetornis rixosa,Aves
Mecocerculus leucophrys,Aves
Mimus gilvus,Aves
Molothrus bonariensis,Aves
Myiodynastes luteiventris,Aves
Nomonyx dominicus,Aves
Orochelidon murina,Aves
Oxyura ferruginea,Aves
Oxyura ferruginea andina,Aves
Parkesia noveboracensis,Aves
Phimosus infuscatus,Aves
Piranga olivacea,Aves
Piranga rubra,Aves
Podilymbus podiceps,Aves
Porphyrio martinica,Aves
Porzana carolina,Aves
Pyrocephalus rubinus,Aves
Quiscalus lugubris,Aves
Rallus semiplumbeus,Aves
Rupornis magnirostris,Aves
Setophaga aestiva,Aves
Setophaga fusca,Aves
Sicalis flaveola,Aves
Sicalis luteola,Aves
Spatula discors,Aves
Spinus psaltria,Aves
Spinus spinescens,Aves
Sporophila intermedia,Aves
Sturnella magna,Aves
Synallaxis subpudica,Aves
Thraupis episcopus,Aves
Thraupis palmarum,Aves
Thraupis palmarum atripennis,Aves
Tringa flavipes,Aves
Tringa solitaria,Aves
Troglodytes musculus,Aves
Troglodytes musculus columbae,Aves
Turdus fuscater,Aves
Turdus fuscater gigas,Aves
Tyrannus melancholicus,Aves
Tyrannus melancholicus melancholicus,Aves
Tyrannus savana,Aves
Tyrannus tyrannus,Aves
Vanellus chilensis,Aves
Vireo flavoviridis,Aves
Vireo olivaceus,Aves
Zenaida auriculata,Aves
Zenaida auriculata pentheria,Aves
Zonotrichia capensis,Aves
Zonotrichia capensis costaricensis,Aves
Coprinellus disseminatus,Fungi
Coprinus comatus,Fungi
Ganoderma applanatum,Fungi
Leratiomyces ceres,Fungi
Ancognatha ustulata,Insecta
Ancyloxypha melanoneura,Insecta
Apis mellifera,Insecta
Asemosyrphus mexicanus,Insecta
Bombus pauloensis,Insecta
Chironomini,Insecta
Clastoptera achatina,Insecta
Colias dimera,Insecta
Dione glycera,Insecta
Eantis pallida,Insecta
Eristalinus taeniops,Insecta
Eumorpha labruscae,Insecta
Falconiodes velezangeli,Insecta
Golofa porteri,Insecta
Hagnagora anicata,Insecta
Harmonia axyridis,Insecta
Hemiargus hanno,Insecta
Heterogomphus dilaticollis,Insecta
Leptophobia aripa,Insecta
Mesamphiagrion laterale,Insecta
Mimocalla gigantea,Insecta
Mulsantina mexicana,Insecta
Palpada pusilla,Insecta
Paracatua rubrolimbata,Insecta
Sangalopsis microleuca,Insecta
Sericoptera mahometaria,Insecta
Vanessa carye,Insecta
Zelus longipes,Insecta
Molossus molossus,Mammalia
Mus musculus,Mammalia
Rattus norvegicus,Mammalia
Rattus rattus,Mammalia
Cornu aspersum,Mollusca
Deroceras reticulatum,Mollusca
Abatia parviflora,Plantae
Acacia dealbata,Plantae
Alnus acuminata,Plantae
Baccharis latifolia,Plantae
Baccharis macrantha,Plantae
Bidens laevis,Plantae
Bocconia frutescens,Plantae
Capsella bursa-pastoris,Plantae
Cenchrus clandestinus,Plantae
Cestrum mutisii,Plantae
Cirsium vulgare,Plantae
Citharexylum subflavescens,Plantae
Clusia multiflora,Plantae
Coriandrum sativum,Plantae
Cotoneaster coriaceus,Plantae
Crocosmia × crocosmiiflora,Plantae
Cucurbita pepo,Plantae
Cymbalaria muralis muralis,Plantae
Dianthera secunda,Plantae
Dodonaea viscosa,Plantae
Duranta mutisii,Plantae
Elaphoglossum peltatum,Plantae
Eriobotrya japonica,Plantae
Hydrocotyle bonplandii,Plantae
Hydrocotyle ranunculoides,Plantae
Impatiens sodenii,Plantae
Ipomoea purpurea,Plantae
Lafoensia acuminata,Plantae
Lantana camara,Plantae
Lepechinia bullata,Plantae
Lobularia maritima,Plantae
Lycianthes lycioides,Plantae
Modiola caroliniana,Plantae
Morella pubescens,Plantae
Myrcianthes leucoxyla,Plantae
Nicotiana tabacum,Plantae
Oreopanax incisus,Plantae
Passiflora tarminiana,Plantae
Persea americana,Plantae
Physalis peruviana,Plantae
Pleroma urvilleanum,Plantae
Prunus serotina,Plantae
Pseudognaphalium luteoalbum,Plantae
Quercus humboldtii,Plantae
Raphanus raphanistrum,Plantae
Ricinus communis,Plantae
Rubus glaucus,Plantae
Salix humboldtiana,Plantae
Sambucus nigra,Plantae
Schinus molle,Plantae
Schoenoplectus californicus,Plantae
Sisyrinchium micranthum,Plantae
Smallanthus pyramidalis,Plantae
Solanum laxum,Plantae
Solanum marginatum,Plantae
Solanum oblongifolium,Plantae
Solanum quitoense,Plantae
Solanum stellatiglandulosum,Plantae
Streptosolen jamesonii,Plantae
Symphyotrichum subulatum,Plantae
Tara spinosa,Plantae
Taraxacum officinale,Plantae
Tecoma stans,Plantae
Thunbergia alata,Plantae
Tigridia pavonia,Plantae
Trifolium pratense,Plantae
Trifolium repens,Plantae
Tropaeolum majus,Plantae
Typha latifolia,Plantae
Vallea stipularis,Plantae
Verbena litoralis,Plantae
Veronica persica,Plantae
Xylosma spiculifera,Plantae
Atractus crassicaudatus,Reptilia
